Ins,Name,Latitude,Longitude,Träger,Adresse,PLZ,Ort,Mo,Di,Mi,Do,Fr,Sa,So,Website ,Mail des:r Ansprechpartner:in,Telefon ,Vollblutspende,Thrombozytenspende,Plasmaspende,Erythrozyten,Bemerkungen
,Blutspendedienst Hamburg Harburg,53.4586534,9.9825793,Blutspendedienst Hamburg ,Lüneburger Str. 25,21073,Hamburg,,11.30 - 14.30 und 15.15 - 19.00,11.30 - 14.30 und 15.15 - 19.00,11.30 - 14.30 und 15.15 - 19.00,7.30 - 10.15 und 11:00 - 14:30,,,https://www.blutspendehamburg.de/standorte-ablaufzeiten/standorte/blutspendedienst-harburg/,,(0 40) 20 00 22 00,ja,ja,ja,,
Hessen,Blutspende Marburg ,50.8161402,8.806970699999999,Uniklinik Marburg,Baldingerstraße,35043,Marburg,08:00-15:30 Uhr,12:00-18:30 Uhr,12:00-18:30 Uhr,08:00-15:30 Uhr,08:00-15:30 Uhr,,,https://www.ukgm.de/ugm_2/deu/umr_tra/7308.html,,06421/58-64492,ja,,,,
,Blutspende Gießen ,50.57429,8.663,Uniklinik Gießen,Langhansstraße 7,35392,Gießen,09:00 - 18:00 Uhr,09:00 - 18:00 Uhr,09:00 - 18:00 Uhr,09:00 - 18:00 Uhr,09:00 - 12:00 Uhr,10:00 - 14:00 Uhr,-,https://www.ukgm.de/ugm_2/deu/ugi_tra/7316.html,,0641/985-41506,ja,,,,
,Campusspende Gießen / Mobile Blutspende,50.57650899999999,8.6908391,Uniklinik Gießen,Otto-Behaghel Strasse 27,35394,Gießen,,11:00 -15:00 Uhr,,,,,,https://www.ukgm.de/ugm_2/deu/ugi_tra/7318.html,,0641/985-41506,ja,,,,
,Institut für Transfusionsmedizin und Immunhämatologie Frankfurt am Main,50.0919967,8.654623599999999, DRK,Sandhofstraße 1,60528,Frankfurt,-,11.30 - 18.30 Uhr,09.00 - 14.00 Uhr,11.30 - 18.30 Uhr,09.00 - 14.00 Uhr,-,-,https://www.blutspende.de/infos-zur-blutspende/blutspendezentren/institut-frankfurt.php,,069 - 67 82 - 0,ja,ja,ja,,
,CSL Plasma Center ,50.11522069999999,8.6824438,CSL Plasma GmbH,Stiftstraße 9-17,60313,Frankfurt,08:00 – 19:00 Uhr,08:00 – 19:00 Uhr,12:00 – 19:00 Uhr,08:00 – 19:00 Uhr,08:00 – 19:00 Uhr,,-,https://www.plasma-spenden.de/,frankfurt@cslplasma.com,0049 69 88 70 61,nein,nein,ja,,
,Blut- und Plasmaspendezentrum,49.8695282,8.6506852,TMD Gesellschaft für transfusionsmedizinische Dienste mbH,,64283,Darmstadt,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,09:00 – 16.00 Uhr,,https://www.tmd-blutspende.de/standorte/darmstadt/,,,ja,nein,ja,,"Aktuell geänderte Öffnungszeiten, normalerweise ist die Spende ab 9:00 Uhr möglich"
,Blut- und Plasmaspendezentrum,50.57987,8.663711600000001,TMD Gesellschaft für transfusionsmedizinische Dienste mbH,Bahnhofstr. 96 – 98,35390,Gießen,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,09:00 – 16.00 Uhr,,https://www.tmd-blutspende.de/standorte/giessen/,kontakt@tmd-group.de,0641/9845160,ja,nein,ja,,"Aktuell geänderte Öffnungszeiten, normalerweise ist die Spende ab 9:00 Uhr möglich"
,Blut- und Plasmaspendezentrum,51.3204528,9.5025391,TMD Gesellschaft für transfusionsmedizinische Dienste mbH,Untere Königsstraße 86,34117,Kassel ,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,11:00 bis 19:00 Uhr,-,,https://www.tmd-blutspende.de/standorte/kassel/,kontakt@tmd-group.de,0561-7004680,ja,nein,ja,,"Aktuell geänderte Öffnungszeiten, normalerweise ist die Spende ab 9:00 Uhr möglich"
,Institut für Transfusionsmedizin und Immunhämatologie Kassel,51.32918859999999,9.5103036,DRK,Mönchebergstraße 57,34125,Kassel,8.00 - 15.00 Uhr,11.00 - 19.00 Uhr,8.00 - 15.00 Uhr,8.00 - 15.00 Uhr,,-,-,https://www.blutspende.de/infos-zur-blutspende/blutspendezentren/institut-kassel.php,,05 61 - 87 93 - 0,ja,nein,ja,,Sonderöffnungszeiten in manchen Wochen
Mecklenburg-Vorpommern,Blutspendezentrum Schwerin,53.644517,11.407932,DRK,Wismarsche Straße 298,19055,Schwerin,,,13:00-19:00,,12:00-18:00,,,https://www.blutspendemv.de/startseite/startseite.php,info@blutspende-mv.de,385591450,Ja,Nein,Ja,,
,Blutspendezentrum Rostock,54.0711716,12.1106599,DRK,Robert-Koch-Straße 10,18059,Rostock,13-19:00,13:00-19:00,13:00-19:00,13:00-19:00,8:30-13:00,,,https://www.blutspendemv.de/startseite/startseite.php,info@blutspende-mv.de,381440350,Ja,nein,ja,,
,Haema Blutspendezentrum,54.0862,12.12517,Haema,Deutsche-Med-Platz 2,18057,Rostock,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,7:30-19:00,8:00-13:00,,https://www.haema.de/spendezentren/mecklenburg-vorpommern/rostock.html,Rostock@haema.de,381877600,Ja,Nein,Ja,,
,Haema Blutspendezentrum,53.63032980000001,11.4150778,Haema,Friedrichstraße 18,19055,Schwerin,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,,,https://www.haema.de/spendezentren/mecklenburg-vorpommern/rostock.html,schwerin@haema.de,,Ja,Nein,Ja,,
,Blutspendezentrum Stralsund,54.3353,13.07457,DRK,"Ärztehaus, Heinrich-Mann-Straße 64",18435,Stralsund,,13:00-19:00,,,,,,https://www.blutspendemv.de/startseite/startseite.php,info@blutspende-mv.de,38312040490,ja,nein,ja,,
,Blutspendezentrum Neubrandenburg,53.5553012,13.2595927,DRK,An der Marienkirche 4,17033,Neubrandenburg ,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,8:00-19:00,,,https://www.blutspendemv.de/startseite/startseite.php,info@blutspende-mv.de,0359 5707017,ja,nein,Ja,,
,Blut-und Plasmaspende im Uniklinikum Greifswald,54.0864743,13.4079037,Uniklinik Greifswald ,Ferdinand-Sauerbruch-Str,17475,Greifswald,9:00-18:00,9:00-18:00,9:00-18:00,9:00-18:00,7:00-16:00,8:00-12:00,,http://www2.medizin.uni-greifswald.de/transfus/index.php?id=469/index.html,Ualpen@uni-greifswald.de,3834865478,Ja,Ja,ja,,
Niedersachsen,Medizinische Hochschule Hannover Blutspendedienst,52.3834749,9.804799899999999,Medizinische Hochschule Hannover,Carl-Neuberg-Straße 1,30625,Hannover,-,-,-,-,7:00-9:00,-,-,https://www.mhh.de/institute-zentren-forschungseinrichtungen/institut-fuer-transfusionsmedizin-und-transplantat-engineering/blutspende,pressestelle@mh-hannover.de,0049 800 532 5325,ja,ja,nein,,
,Plasma Service Hannover,52.37569509999999,9.7379325,Plasma Service Europe,Schillerstraße 23,30159,Hannover,11:00-19:00,11:00-19:00,9:00-17:00,11:00-19:00,11:00-19:00,-,-,https://www.plasmaservice.de/de/plasmazentren/hannover.cfm,info-pse@plasmaservice.de,0511 3748320,nein,nein,ja,nein,Spenderannahme bis 1 h 15 min vor Schließung
